Id;Symbol;Side;Open Time;Close Time;PnL (USDT);Balance
123;SOLUSDT;SYNC;2026-06-29 20:15:23;2026-06-29 20:15:23;1.9646;9091.3525
124;SOLUSDT;SYNC;2026-06-29 20:15:29;2026-06-29 20:15:29;1.9532;9093.3052
125;SOLUSDT;SYNC;2026-06-29 20:15:36;2026-06-29 20:15:36;1.9456;9095.2504
126;STABLEUSDT;SYNC;2026-06-29 20:29:37;2026-06-29 20:29:37;0.0956;9095.3456
127;STABLEUSDT;SYNC;2026-06-29 20:29:42;2026-06-29 20:29:42;0.1185;9095.4641
128;STABLEUSDT;SYNC;2026-06-29 20:29:42;2026-06-29 20:29:42;0.237;9095.701
129;STABLEUSDT;SYNC;2026-06-29 20:29:42;2026-06-29 20:29:42;0.8294;9096.5304
130;STABLEUSDT;SYNC;2026-06-29 20:29:42;2026-06-29 20:29:42;0.0037;9096.5341
131;JUPUSDT;SYNC;2026-06-29 20:57:34;2026-06-29 20:57:34;1.5444;9098.0783
132;DASHUSDT;SYNC;2026-06-29 20:58:13;2026-06-29 20:58:13;1.2545;9099.3327
133;DASHUSDT;SYNC;2026-06-29 20:58:16;2026-06-29 20:58:16;-0.0594;9099.273
134;DASHUSDT;SYNC;2026-06-29 20:58:16;2026-06-29 20:58:16;-0.0554;9099.2176
135;DASHUSDT;SYNC;2026-06-29 20:58:16;2026-06-29 20:58:16;-0.1541;9099.0635
136;DASHUSDT;SYNC;2026-06-29 20:58:16;2026-06-29 20:58:16;-0.0565;9099.0069
137;DASHUSDT;SYNC;2026-06-29 20:58:16;2026-06-29 20:58:16;-0.648;9098.3589
138;DASHUSDT;SYNC;2026-06-29 20:58:16;2026-06-29 20:58:16;-2.3137;9096.0452
139;DASHUSDT;SYNC;2026-06-29 20:58:16;2026-06-29 20:58:16;-0.1775;9095.8675
140;DASHUSDT;SYNC;2026-06-29 20:58:16;2026-06-29 20:58:16;-0.7759;9095.0916
141;SOLUSDT;SYNC;2026-06-29 20:58:18;2026-06-29 20:58:18;-5.1918;9089.8998
142;SOLUSDT;SYNC;2026-06-29 20:58:21;2026-06-29 20:58:21;-0.5292;9089.3702
143;SOLUSDT;SYNC;2026-06-29 20:58:21;2026-06-29 20:58:21;-7.203;9082.1672
144;JUPUSDT;SYNC;2026-06-29 20:58:24;2026-06-29 20:58:24;-7.1331;9075.0338
145;STABLEUSDT;SYNC;2026-06-29 20:58:27;2026-06-29 20:58:27;-0.9214;9074.1122
146;STABLEUSDT;SYNC;2026-06-29 20:58:27;2026-06-29 20:58:27;-0.0263;9074.0858
147;STABLEUSDT;SYNC;2026-06-29 20:58:27;2026-06-29 20:58:27;-0.0277;9074.058
148;STABLEUSDT;SYNC;2026-06-29 20:58:27;2026-06-29 20:58:27;-0.2666;9073.7914
149;STABLEUSDT;SYNC;2026-06-29 20:58:30;2026-06-29 20:58:30;-0.2585;9073.5329
150;STABLEUSDT;SYNC;2026-06-29 20:58:30;2026-06-29 20:58:30;-0.5082;9073.0246
151;STABLEUSDT;SYNC;2026-06-29 20:58:30;2026-06-29 20:58:30;-0.6967;9072.3278
152;DASHUSDT;SYNC;2026-06-29 21:00:52;2026-06-29 21:00:52;2.324;9074.6496
153;DASHUSDT;SYNC;2026-06-29 21:00:57;2026-06-29 21:00:57;2.3088;9076.958
154;SOLUSDT;SYNC;2026-06-29 21:08:34;2026-06-29 21:08:34;1.9646;9078.9222
155;JUPUSDT;SYNC;2026-06-29 21:17:41;2026-06-29 21:17:41;1.5327;9080.4544
156;STABLEUSDT;SYNC;2026-06-29 21:17:58;2026-06-29 21:17:58;1.3278;9081.7822
157;DASHUSDT;SYNC;2026-06-29 21:30:36;2026-06-29 21:30:36;2.324;9084.1057
158;STABLEUSDT;SYNC;2026-06-29 21:44:58;2026-06-29 21:44:58;1.3188;9085.424
159;JUPUSDT;SYNC;2026-06-29 22:13:00;2026-06-29 22:13:00;0.2587;9085.6825
160;JUPUSDT;SYNC;2026-06-29 22:13:03;2026-06-29 22:13:03;0.0299;9085.7123
161;JUPUSDT;SYNC;2026-06-29 22:13:05;2026-06-29 22:13:05;1.2545;9086.9668
162;SOLUSDT;SYNC;2026-06-29 22:28:46;2026-06-29 22:28:46;1.9532;9088.9198
163;DASHUSDT;SYNC;2026-06-29 22:50:01;2026-06-29 22:50:01;2.338;9091.2573
164;JUPUSDT;SYNC;2026-06-29 22:58:09;2026-06-29 22:58:09;1.5327;9092.7896
165;SOLUSDT;SYNC;2026-06-30 02:30:41;2026-06-30 02:30:41;1.9646;9094.7542
166;JUPUSDT;SYNC;2026-06-30 03:23:42;2026-06-30 03:23:42;0.4199;9095.1746
167;JUPUSDT;SYNC;2026-06-30 03:23:42;2026-06-30 03:23:42;1.131;9096.3055
168;JUPUSDT;SYNC;2026-06-30 03:28:18;2026-06-30 03:28:18;1.5574;9097.8627
169;SOLUSDT;SYNC;2026-06-30 03:30:06;2026-06-30 03:30:06;1.9203;9099.7827
170;STABLEUSDT;SYNC;2026-06-30 03:31:19;2026-06-30 03:31:19;1.2781;9101.0604
171;DASHUSDT;SYNC;2026-06-30 03:31:56;2026-06-30 03:31:56;2.3068;9103.3671
172;JUPUSDT;SYNC;2026-06-30 03:32:08;2026-06-30 03:32:08;1.2233;9104.5903
173;JUPUSDT;SYNC;2026-06-30 03:32:09;2026-06-30 03:32:09;0.0793;9104.6695
174;JUPUSDT;SYNC;2026-06-30 03:37:06;2026-06-30 03:37:06;0.2743;9104.9433
175;SOLUSDT;SYNC;2026-06-30 03:41:04;2026-06-30 03:41:04;1.9314;9106.8744
176;JUPUSDT;SYNC;2026-06-30 04:07:12;2026-06-30 04:07:12;1.586;9108.46
177;STABLEUSDT;SYNC;2026-06-30 04:07:45;2026-06-30 04:07:45;0.8223;9109.2822
178;DASHUSDT;SYNC;2026-06-30 04:10:39;2026-06-30 04:10:39;0.1464;9109.4284
179;DASHUSDT;SYNC;2026-06-30 04:10:39;2026-06-30 04:10:39;0.5046;9109.933
180;DASHUSDT;SYNC;2026-06-30 04:10:43;2026-06-30 04:10:43;0.0508;9109.9837
181;STABLEUSDT;SYNC;2026-06-30 04:14:37;2026-06-30 04:14:37;0.4558;9110.4396
182;JUPUSDT;SYNC;2026-06-30 05:11:32;2026-06-30 05:11:32;1.599;9112.0383
183;STABLEUSDT;SYNC;2026-06-30 05:49:27;2026-06-30 05:49:27;0.9696;9113.0076
184;STABLEUSDT;SYNC;2026-06-30 05:49:27;2026-06-30 05:49:27;0.3329;9113.3405
185;STABLEUSDT;SYNC;2026-06-30 05:55:20;2026-06-30 05:55:20;1.2985;9114.6387
186;STABLEUSDT;SYNC;2026-06-30 05:55:53;2026-06-30 05:55:53;0.1377;9114.7761
187;STABLEUSDT;SYNC;2026-06-30 05:55:53;2026-06-30 05:55:53;1.1379;9115.914
188;STABLEUSDT;SYNC;2026-06-30 05:56:23;2026-06-30 05:56:23;1.2903;9117.204
189;STABLEUSDT;SYNC;2026-06-30 06:04:44;2026-06-30 06:04:44;3.8212;9121.0247
190;STABLEUSDT;SYNC;2026-06-30 06:15:22;2026-06-30 06:15:22;0.0195;9121.0439
191;STABLEUSDT;SYNC;2026-06-30 06:15:26;2026-06-30 06:15:26;0.7145;9121.7583
192;STABLEUSDT;SYNC;2026-06-30 06:16:22;2026-06-30 06:16:22;0.4649;9122.2232
193;STABLEUSDT;SYNC;2026-06-30 06:16:22;2026-06-30 06:16:22;0.0827;9122.3059
194;SOLUSDT;SYNC;2026-06-30 07:05:10;2026-06-30 07:05:10;1.9351;9124.2395
195;STABLEUSDT;SYNC;2026-06-30 07:14:04;2026-06-30 07:14:04;0.4524;9124.6915
196;STABLEUSDT;SYNC;2026-06-30 07:14:04;2026-06-30 07:14:04;0.7657;9125.4571
197;STABLEUSDT;SYNC;2026-06-30 07:14:16;2026-06-30 07:14:16;0.1126;9125.5697
198;JUPUSDT;SYNC;2026-06-30 09:25:34;2026-06-30 09:25:34;0.8853;9126.4548
199;JUPUSDT;SYNC;2026-06-30 09:25:36;2026-06-30 09:25:36;0.3081;9126.7628
200;JUPUSDT;SYNC;2026-06-30 09:25:39;2026-06-30 09:25:39;0.4121;9127.1749
201;JUPUSDT;SYNC;2026-06-30 11:16:12;2026-06-30 11:16:12;1.6172;9128.788
202;SOLUSDT;SYNC;2026-06-30 11:36:12;2026-06-30 11:36:12;1.9462;9130.7339
203;JUPUSDT;SYNC;2026-06-30 11:36:56;2026-06-30 11:36:56;1.5216;9132.2554
204;STABLEUSDT;SYNC;2026-06-30 11:41:52;2026-06-30 11:41:52;1.2754;9133.5302
205;JUPUSDT;SYNC;2026-06-30 11:45:48;2026-06-30 11:45:48;1.5252;9135.0551
206;STABLEUSDT;SYNC;2026-06-30 13:31:01;2026-06-30 13:31:01;1.309;9136.3638
207;STABLEUSDT;SYNC;2026-06-30 13:49:27;2026-06-30 13:49:27;1.3153;9137.6788
208;STABLEUSDT;SYNC;2026-06-30 14:00:48;2026-06-30 14:00:48;1.2963;9138.9746
209;JUPUSDT;SYNC;2026-06-30 14:30:51;2026-06-30 14:30:51;1.5324;9140.5067
210;SOLUSDT;SYNC;2026-06-30 15:06:22;2026-06-30 15:06:22;1.9573;9142.324
211;JUPUSDT;SYNC;2026-06-30 15:21:50;2026-06-30 15:21:50;1.5492;9143.8728
212;DASHUSDT;SYNC;2026-06-30 15:23:42;2026-06-30 15:23:42;1.0718;9144.9445
213;DASHUSDT;SYNC;2026-06-30 15:23:44;2026-06-30 15:23:44;0.1836;9145.128
214;SOLUSDT;SYNC;2026-06-30 15:23:49;2026-06-30 15:23:49;1.9684;9147.0964
215;DASHUSDT;SYNC;2026-06-30 15:23:49;2026-06-30 15:23:49;0.4084;9147.5047
216;SOLUSDT;SYNC;2026-06-30 15:50:37;2026-06-30 15:50:37;1.9296;9149.4336
217;JUPUSDT;SYNC;2026-06-30 15:56:46;2026-06-30 15:56:46;1.5552;9150.9883
218;DASHUSDT;SYNC;2026-06-30 15:58:49;2026-06-30 15:58:49;0.1111;9151.0994
219;DASHUSDT;SYNC;2026-06-30 15:59:00;2026-06-30 15:59:00;0.0547;9151.1541
220;DASHUSDT;SYNC;2026-06-30 15:59:01;2026-06-30 15:59:01;0.0608;9151.2148
